order_id,order_date,product,category,quantity,unit_price,discount,payment_method,country,status,total
1,2026-05-12,Mechanical Keyboard,Electronics,3.0,64.9,0.1,Card,Slovakia,Refunded,175.23000000000002
2,2026-03-22,Sneakers,Clothing,5.0,79.9,0.15,Cash,Germany,Cancelled,339.575
3,2026-08-06,Sneakers,Clothing,2.0,79.9,0.0,Bank Transfer,Poland,Refunded,159.8
4,2026-07-01,T-Shirt,Clothing,8.0,19.99,0.2,Cash,Slovakia,Completed,127.93599999999999
5,2026-05-24,Backpack,Accessories,8.0,39.9,0.0,Paypal,Poland,Refunded,319.2
6,2026-05-05,Laptop Stand,Electronics,2.0,34.5,0.15,Paypal,Austria,Refunded,58.65
7,2026-07-06,Usb-C Cable,Electronics,4.0,9.9,0.2,Paypal,Czechia,Cancelled,31.680000000000003
8,2026-06-08,Laptop Stand,Electronics,2.0,34.5,0.0,Card,Austria,Cancelled,69.0
9,2026-01-22,Hoodie,Clothing,8.0,44.9,0.0,Paypal,Slovakia,Pending,359.2
10,2026-07-01,Sneakers,Clothing,3.0,,0.2,Card,Austria,Refunded,
11,2026-04-13,Sneakers,Clothing,1.0,79.9,0.1,Card,Slovakia,Pending,71.91000000000001
12,2026-06-19,T-Shirt,Clothing,,19.99,0.0,Cash,Germany,Cancelled,
13,2026-01-31,T-Shirt,Clothing,5.0,19.99,0.05,Bank Transfer,Czechia,Pending,94.95249999999999
14,2026-06-08,T-Shirt,Clothing,2.0,,0.0,Bank Transfer,Austria,Pending,
15,2026-03-22,Usb-C Cable,Electronics,1.0,9.9,0.1,,Austria,Completed,8.91
16,2026-05-24,Mechanical Keyboard,Electronics,1.0,64.9,0.15,Bank Transfer,Poland,Refunded,55.165000000000006
17,2026-03-16,T-Shirt,Clothing,2.0,19.99,0.05,Bank Transfer,,Refunded,37.980999999999995
18,2026-07-04,Laptop Stand,Electronics,8.0,34.5,0.0,Card,Slovakia,Completed,276.0
19,2026-02-02,Sneakers,Clothing,2.0,79.9,0.2,,Austria,Completed,127.84000000000002
20,2026-06-01,Desk Lamp,Office,1.0,27.8,0.15,Card,Slovakia,Completed,23.63
21,2026-02-08,Laptop Stand,Electronics,8.0,34.5,0.2,Paypal,Poland,Pending,220.8
22,2026-05-05,Sneakers,Clothing,,79.9,0.0,Card,Poland,Refunded,
23,2026-01-12,Coffee Beans,Food,2.0,13.5,0.1,Paypal,Germany,Pending,24.3
24,2026-04-02,T-Shirt,Clothing,2.0,19.99,0.0,,Slovakia,Completed,39.98
25,2026-06-20,Wireless Mouse,Electronics,1.0,18.9,0.1,Card,Poland,Completed,17.009999999999998
26,2026-05-02,Sneakers,Clothing,1.0,79.9,0.0,Paypal,Czechia,Pending,79.9
27,2026-03-26,Water Bottle,Home,8.0,12.5,0.1,Bank Transfer,Germany,Refunded,90.0
28,2026-03-10,Sneakers,Clothing,1.0,79.9,0.05,Bank Transfer,Czechia,Cancelled,75.905
29,2026-05-21,Water Bottle,Home,4.0,12.5,0.0,Bank Transfer,Germany,Cancelled,50.0
30,2026-06-03,Notebook,Office,8.0,4.2,0.15,Cash,Poland,Refunded,28.56
31,2026-06-09,Backpack,Accessories,,39.9,0.0,Bank Transfer,Czechia,Pending,
32,2026-01-28,T-Shirt,Clothing,8.0,19.99,0.0,Card,Poland,Refunded,159.92
33,2026-06-14,Desk Lamp,Office,2.0,27.8,0.0,Paypal,Slovakia,Completed,55.6
34,2026-05-17,Sneakers,Clothing,8.0,79.9,0.15,Bank Transfer,Germany,Completed,543.32
35,2026-09-04,T-Shirt,Clothing,8.0,19.99,0.2,Card,Austria,Pending,127.93599999999999
36,2026-04-11,Desk Lamp,Office,3.0,27.8,,Cash,Slovakia,Pending,
37,2026-04-28,Coffee Beans,Food,3.0,13.5,0.0,Cash,Slovakia,Completed,40.5
38,2026-07-02,Water Bottle,Home,1.0,12.5,0.0,Card,Germany,Completed,12.5
39,2026-08-04,Water Bottle,Home,2.0,12.5,0.2,Cash,Slovakia,Pending,20.0
40,2026-08-13,T-Shirt,Clothing,5.0,19.99,0.0,Cash,Slovakia,Completed,99.94999999999999
41,2026-07-09,Usb-C Cable,Electronics,2.0,9.9,0.0,Bank Transfer,Germany,Completed,19.8
42,2026-06-21,Hoodie,Clothing,1.0,44.9,0.15,Bank Transfer,Poland,Completed,38.165
43,2026-07-24,Backpack,Accessories,1.0,39.9,0.05,Paypal,Austria,Refunded,37.904999999999994
44,2026-07-07,Hoodie,Clothing,8.0,44.9,0.0,Bank Transfer,Slovakia,Cancelled,359.2
45,2026-01-30,Backpack,Accessories,2.0,39.9,0.2,Paypal,Austria,Refunded,63.84
