order_id,order_date,product,category,quantity,unit_price,discount,payment_method,country,status
1,2026-05-12,Mechanical Keyboard,Electronics,3,64.9,0.1,Card,Slovakia,Refunded
2,2026-03-22,Sneakers,Clothing,5,79.9,0.15,Cash,Germany,Cancelled
3,2026-08-06,Sneakers,Clothing,2,79.9,0,Bank Transfer,Poland,Refunded
4,2026-07-01,T-Shirt,Clothing,8,19.99,0.2,Cash,Slovakia,Completed
5,2026-05-24,Backpack,Accessories,8,39.9,0%,PayPal,Poland,Refunded
6,2026-05-05,Laptop Stand,Electronics,2,34.5,0.15,PayPal,Austria,Refunded
7,2026-07-06,USB-C Cable,Electronics,4,9.9,0.2,PayPal,Czechia,Cancelled
8,2026-06-08,Laptop Stand,Electronics,2,34.5,0,Card,Austria,Cancelled
9,2026-01-22,Hoodie,Clothing,8,44.9,0,PayPal,Slovakia,Pending
10,2026-07-01,Sneakers,Clothing,3,,0.2,Card,Austria,Refunded
11,2026-04-13, sneakers ,Clothing,1,79.9,0.1, Card ,Slovakia,Pending
12,2026-06-19,T-Shirt,Clothing,,19.99,0,Cash,Germany,Cancelled
13,2026-01-31,T-Shirt,Clothing,5,19.99,0.05,Bank Transfer,Czechia,Pending
14,2026-06-08,T-Shirt,Clothing,2,N/A,0,Bank Transfer,Austria,Pending
15,2026-03-22,USB-C Cable,Electronics,1,"9,90",0.1,,Austria, completed 
16,2026-05-24,Mechanical Keyboard,Electronics,1,64.9,0.15,Bank Transfer,Poland,Refunded
17,2026-03-16,T-Shirt,Clothing,2,19.99,0.05,Bank Transfer,,Refunded
18,2026-07-04,Laptop Stand,Electronics,8,34.5,0,Card,Slovakia,Completed
19,2026-02-02,Sneakers,Clothing,2,79.9,0.2,,Austria,Completed
20,2026-06-01,Desk Lamp,Office,1,27.8,0.15,Card,Slovakia,Completed
21,2026-02-08,Laptop Stand,Electronics,8,34.5,0.2,PayPal,Poland,Pending
22,2026-05-05,Sneakers,Clothing,,79.9,0,Card,Poland,Refunded
23,2026-01-12,Coffee Beans,Food,2,13.5,0.1,PayPal,Germany,Pending
24,2026-04-02,T-Shirt,Clothing,2,19.99,0,,Slovakia,Completed
25,2026-06-20,Wireless Mouse,Electronics,1,18.9,0.1,Card,Poland,Completed
26,2026-05-02,Sneakers,Clothing,1,79.9,0,PayPal,Czechia,Pending
27,2026-03-26,Water Bottle,Home,8,12.5,0.1,Bank Transfer,Germany,Refunded
28,2026-03-10,Sneakers,Clothing,1,79.9,0.05,Bank Transfer,Czechia,Cancelled
29,2026-05-21,Water Bottle,Home,4,12.5,0,Bank Transfer,Germany,Cancelled
30,2026-06-03,Notebook,Office,8,4.2,15%,Cash,Poland,Refunded
31,2026-06-09,Backpack, Accessories ,unknown,39.9,0,Bank Transfer,Czechia,Pending
32,2026-01-28, t-shirt ,Clothing,8,19.99,0,Card,Poland,Refunded
33,2026-06-14,Desk Lamp,Office,2,27.8,0,PayPal,Slovakia,Completed
34,2026-05-17,Sneakers,Clothing,8,79.9,0.15,Bank Transfer,Germany,Completed
35,2026-09-04, t-shirt ,Clothing,8,19.99,0.2,Card,Austria,Pending
36,2026-04-11,Desk Lamp,Office,3,27.8,1.5,Cash,Slovakia,Pending
37,2026-04-28,Coffee Beans,Food,3,13.5,0,Cash,Slovakia,Completed
38,2026-07-02, water bottle ,Home,1,12.5,0,Card,Germany,Completed
39,2026-08-04,Water Bottle,Home,2,12.5,0.2,Cash,Slovakia,Pending
40,2026-08-13,T-Shirt,Clothing,5,19.99,0,Cash,Slovakia, completed 
41,2026-07-09,USB-C Cable,Electronics,2,9.9,0,Bank Transfer,Germany,Completed
42,2026-06-21,Hoodie,Clothing,1,44.9,0.15,Bank Transfer,Poland,Completed
43,2026-07-24,Backpack,Accessories,1,"39,90",0.05,PayPal,Austria,Refunded
44,2026-07-07,Hoodie,Clothing,8,44.9,0,Bank Transfer,Slovakia,Cancelled
45,2026-01-30,Backpack, Accessories ,2,39.9,20%,PayPal,Austria,Refunded
46,2026-06-04,Coffee Beans,Food,1,13.5,0,Cash,Austria,Completed
47,2026-07-24,Wireless Mouse,Electronics,2,18.9,0.2,Cash,Austria,Cancelled
48,2026-05-12, coffee beans ,Food,5,13.5,20%,Card,Slovakia,Refunded
49,2026-05-19,Sneakers,Clothing,8, 79.90 ,10%,Cash,Germany,Completed
50,2026-07-13,T-Shirt,Clothing,2,"19,99",0.1,Bank Transfer,Germany,Cancelled
51,2026-07-24,Coffee Beans,Food,1, 13.50 ,0.15,Bank Transfer,Slovakia,Refunded
52,2026-01-30,Wireless Mouse,Electronics,2,18.9,0,PayPal,Slovakia,Cancelled
53,2026-02-10,Laptop Stand,Electronics,5,34.5,0.2,PayPal,Czechia,Completed
54,2026-08-01,Mechanical Keyboard,Electronics,1,64.9,0,Bank Transfer,Germany,Completed
55,2026-05-21,USB-C Cable,Electronics,1,9.9,0.1,Card,Slovakia,Pending
56,2026-05-21,Water Bottle,Home,2,12.5,0.1,Bank Transfer,Austria,Refunded
57,2026-12-06,USB-C Cable,Electronics,5,9.9,0.05,PayPal,Czechia,Cancelled
58,2026-01-08, notebook ,Office,8,4.2,0,Bank Transfer,Germany, pending 
59,2026-06-05,Laptop Stand,Electronics,2, 34.50 ,0,PayPal,Germany,Pending
60,2026-03-24,Mechanical Keyboard,Electronics,4,64.9,0,Bank Transfer,Czechia,Completed
61,2026-03-30,USB-C Cable,Electronics,unknown,9.9,0, Cash ,Slovakia,Refunded
62,2026-01-16,Mechanical Keyboard,Electronics,5,64.9,1.5,PayPal,Germany,Cancelled
63,2026-07-25,Notebook,Office,2,4.2,0.2,PayPal,Czechia,Pending
64,2026-05-16,Hoodie,Clothing,8,44.9,0,PayPal,Poland,Completed
65,2026-03-21, t-shirt ,Clothing,2,19.99,0,Card,Austria,Pending
66,2026-07-30,Mechanical Keyboard,Electronics,3,64.9,0.2,,Germany,Cancelled
67,2026-05-20,Wireless Mouse,Electronics,2,18.9,0.1,Card,Czechia,Cancelled
68,2026-01-27,Hoodie,Clothing,8,44.9,0.05,Card,Poland,Pending
69,2026-07-17,T-Shirt,Clothing,1,19.99,0.2,Bank Transfer,Germany,Cancelled
70,2026-04-16,Mechanical Keyboard,Electronics,5,64.9,0.1,PayPal,Germany,Pending
71,2026-08-15,Coffee Beans,Food,2,13.5,0%,Card,Slovakia,Refunded
72,2026-06-26,Mechanical Keyboard,Electronics,8,64.9,0,Cash,Germany,Cancelled
73,2026-08-21,Desk Lamp,Office,5,27.8,0,Cash,Austria,Cancelled
74,2026-07-02,Backpack,Accessories,4, 39.90 ,0.2,Card,Slovakia,Cancelled
75,2026-06-17, water bottle ,Home,1,12.5,0,Cash,Austria,Completed
76,2026-06-23,WIRELESS MOUSE,Electronics,3,18.9,0.2,PayPal,Germany,Refunded
77,2026-08-27,Wireless Mouse,Electronics,4,,0.05,Card,Austria,Completed
78,2026-03-01,Laptop Stand,Electronics,5,34.5,0.15,Card,Czechia,Refunded
